"ID","Category","Name","Status","Total","NonCompliant","C","D","R","E_i","E_norm","Effort","Objects","Remediation"
"2.4","base","Host image profile acceptance level must be  PartnerSupported or higher ","COMPLIANT","12","0","1","0","1","0,65","0","BASSO","","# Set the Software AcceptanceLevel for each host  Foreach ($VMHost in Get-VMHost ) {  $ESXCli = Get-EsxCli -VMHost $VMHost  $ESXCli.software.acceptance.Set(""PartnerSupported"")  }"
"2.6","base","Host must have reliable time synchronization sources","NON-COMPLIANT","12","1","1","1","1","1","0,175","BASSO","esxi-host-10.lab.local (ntp=0 servers, running=False)","# Set the NTP Settings for all hosts  # If an internal NTP server is used, replace pool.ntp.org with   # the IP address or the Fully Qualified Domain Name (FQDN) of the internal  NTP server  $NTPServers = ""pool.ntp.org"", ""pool2.ntp.org""  Get-VMHost | Add-VmHostNtpServer $NTPServers"
"2.10","base","Host must restrict inter-VM transparent page sharing","COMPLIANT","12","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name Mem.ShareForceSalting | Set AdvancedSetting -Value 2"
"3.1","management","Host should deactivate SSH ","COMPLIANT","12","0","1","1","1","1","0,175","BASSO","","# Set SSH to start manually rather than automatically for all hosts  Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM-SSH"" } | Set VMHostService -Policy Off"
"3.2","management","Host must deactivate the ESXi shell","COMPLIANT","12","0","1","1","1","1","0,175","BASSO","","# Set the ESXi shell to start manually rather than automatically for all  hosts  Get-VMHost | Get-VMHostService | Where { $_.key -eq ""TSM"" } | Set VMHostService -Policy Off"
"3.3","management","Host must deactivate the ESXi Managed Object Browser  (MOB)","COMPLIANT","12","0","2","0","2","1,3","0,325","BASSO","","You must disable MOB from the vSphere interface not via the vim-cmd  proxysvc/service_list  command."
"3.7","management","Host must automatically terminate idle DCUI sessions ","COMPLIANT","12","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name UserVars.DcuiTimeOut | Set AdvancedSetting -Value 600"
"3.8","management","Host must automatically terminate idle shells","COMPLIANT","12","0","1","0","1","0,65","0","BASSO","","# Set Remove UserVars.ESXiShellInteractiveTimeOut to 300 on all hosts  Get-VMHost | Get-AdvancedSetting -Name 'UserVars.ESXiShellInteractiveTimeOut'  | Set-AdvancedSetting -Value ""300"""
"3.9","management","Host must automatically deactivate shell services","COMPLIANT","12","0","1","0","1","0,65","0","BASSO","","# Set UserVars.ESXiShellTimeOut to 3600 on all hosts  Get-VMHost | Get-AdvancedSetting -Name 'UserVars.ESXiShellTimeOut' | Set AdvancedSetting -Value ""3600"""
"3.12","management","Host must lock an account after a specified number of  failed login attempts","COMPLIANT","12","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name Security.AccountLockFailures | Set AdvancedSetting -Value 5"
"3.13","management","Host must unlock accounts after a specified timeout  period","COMPLIANT","12","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name Security.AccountUnlockTime | Set AdvancedSetting -Value 900"
"3.20","management","Host must enable normal lockdown mode","NON-COMPLIANT","12","12","2","1","2","1,65","0,5","MEDIO","esxi-host-07.lab.local | esxi-host-06.lab.local | esxi-host-08.lab.local | esxi-host-09.lab.local | esxi-host-02.lab.local | esxi-host-05.lab.local | esxi-host-03.lab.local | esxi-host-01.lab.local | esxi-host-04.lab.local | esxi-host-10.lab.local | esxi-host-11.lab.local | esxi-host-12.lab.local","# Enable lockdown mode for each host  Get-VMHost | Foreach { $_.EnterLockdownMode() }"
"3.21","management","Host should enable strict lockdown mode","NON-COMPLIANT","12","12","3","2","3","2,65","1","ALTO","esxi-host-07.lab.local (mode=lockdownDisabled) | esxi-host-06.lab.local (mode=lockdownDisabled) | esxi-host-08.lab.local (mode=lockdownDisabled) | esxi-host-09.lab.local (mode=lockdownDisabled) | esxi-host-02.lab.local (mode=lockdownDisabled) | esxi-host-05.lab.local (mode=lockdownDisabled) | esxi-host-03.lab.local (mode=lockdownDisabled) | esxi-host-01.lab.local (mode=lockdownDisabled) | esxi-host-04.lab.local (mode=lockdownDisabled) | esxi-host-10.lab.local (mode=lockdownDisabled) | esxi-host-11.lab.local (mode=lockdownDisabled) | esxi-host-12.lab.local (mode=lockdownDisabled)","# Enable lockdown mode for each host  Get-VMHost | Foreach { $_.EnterLockdownMode() }"
"4.2","logging","Host must transmit system logs to a remote log collector ","COMPLIANT","12","0","2","0","1","1,05","0,2","BASSO","","# Set Syslog.global.logHost for each host  Get-VMHost | Foreach { Set-AdvancedSetting -VMHost $_ -Name  Syslog.global.logHost -Value ""<NewLocation>"" }"
"5.6","network","Host should reject forged transmits on standard virtual  switches and port groups","NON-COMPLIANT","8","3","1","0","1","0,65","0","BASSO","Host=esxi-host-08.lab.local Switch=vSwitch0 | Host=esxi-host-08.lab.local Switch=vSwitch1 | Host=esxi-host-09.lab.local Switch=vSwitch1","# esxcli network vswitch standard policy security set -v vSwitch2 -f false"
"5.7","network","Host should reject MAC address changes on standard  virtual switches and port groups","NON-COMPLIANT","8","3","1","0","1","0,65","0","BASSO","Host=esxi-host-08.lab.local Switch=vSwitch0 | Host=esxi-host-08.lab.local Switch=vSwitch1 | Host=esxi-host-09.lab.local Switch=vSwitch1","# esxcli network vswitch standard policy security set -v vSwitch2 -m false"
"5.8","network","Host should reject promiscuous mode requests on  standard virtual switches and port groups","COMPLIANT","8","0","1","0","1","0,65","0","BASSO","","# esxcli network vswitch standard policy security set -v vSwitch2 -p false"
"5.9","network","Host must restrict access to a default or native VLAN on  standard virtual switches","COMPLIANT","8","0","2","1","2","1,65","0,5","MEDIO","","1. From the vSphere Web Client, select the host.  2. Click Configure then expand Networking.  3. Select Virtual switches.  4. Expand the Standard vSwitch.  5. View the topology diagram of the switch, which shows the various port groups  associated with that switch.  6. For each port group on the vSwitch, verify and record the VLAN IDs used.  7. If a VLAN ID change is needed, click the name of the port group in the topology  diagram of the virtual switch.  8. Click the Edit settings option.  9. In the Properties section, enter an appropriate name in the Network label field.  10. In the VLAN ID dropdown select or type a new VLAN.  11. Click OK."
"5.10","network","Host must restrict the use of Virtual Guest Tagging  (VGT) on standard virtual switches","COMPLIANT","8","0","2","1","2","1,65","0,5","MEDIO","","1. From the vSphere Web Client, select the host.  2. Click Configure then expand Networking.  3. Select Virtual switches.  4. Expand the Standard vSwitch.  5. View the topology diagram of the switch, which shows the various port groups  associated with that switch.  6. For each port group on the vSwitch, verify and record the VLAN IDs used.  7. If a VLAN ID change is needed, click the name of the port group in the topology  diagram of the virtual switch.  8. Click the Edit settings option.  9. In the Properties section, enter an appropriate name in the Network label field.  10. In the VLAN ID dropdown select or type a new VLAN.  11. Click OK."
